[2026-07-03 22:15:12,962 INFO] Batch size: 16
[2026-07-03 22:15:12,962 INFO] The number of training instances: 80000
[2026-07-03 22:15:13,336 INFO] Start training.
  0%|          | 0/4 [00:00<?, ?it/s][2026-07-03 22:15:13,337 INFO] 4
[2026-07-03 22:19:23,568 INFO] Epoch id: 2, Training steps: 1100, Avg loss: 0.000
[2026-07-03 22:19:27,128 INFO] Epoch id: 2, Training steps: 1200, Avg loss: 0.000
[2026-07-03 22:19:30,647 INFO] Epoch id: 2, Training steps: 1300, Avg loss: 0.000
[2026-07-03 22:19:34,192 INFO] Epoch id: 2, Training steps: 1400, Avg loss: 0.000
[2026-07-03 22:19:37,704 INFO] Epoch id: 2, Training steps: 1500, Avg loss: 0.000
[2026-07-03 22:19:42,804 INFO] Epoch id: 2, Training steps: 1600, Avg loss: 0.000
[2026-07-03 22:19:48,872 INFO] Epoch id: 2, Training steps: 1700, Avg loss: 0.000
[2026-07-03 22:19:53,110 INFO] Epoch id: 2, Training steps: 1800, Avg loss: 0.000
[2026-07-03 22:19:57,353 INFO] Epoch id: 2, Training steps: 1900, Avg loss: 0.000
[2026-07-03 22:20:00,832 INFO] Epoch id: 2, Training steps: 2000, Avg loss: 0.000
[2026-07-03 22:20:07,330 INFO] Epoch id: 2, Training steps: 2100, Avg loss: 0.000
[2026-07-03 22:20:11,583 INFO] Epoch id: 2, Training steps: 2200, Avg loss: 0.000
[2026-07-03 22:20:16,499 INFO] Epoch id: 2, Training steps: 2300, Avg loss: 0.000
[2026-07-03 22:20:22,464 INFO] Epoch id: 2, Training steps: 2400, Avg loss: 0.000
[2026-07-03 22:20:26,641 INFO] Epoch id: 2, Training steps: 2500, Avg loss: 0.000
[2026-07-03 22:20:30,195 INFO] Epoch id: 2, Training steps: 2600, Avg loss: 0.000
[2026-07-03 22:20:34,500 INFO] Epoch id: 2, Training steps: 2700, Avg loss: 0.000
[2026-07-03 22:20:39,507 INFO] Epoch id: 2, Training steps: 2800, Avg loss: 0.000
[2026-07-03 22:20:43,805 INFO] Epoch id: 2, Training steps: 2900, Avg loss: 0.000
[2026-07-03 22:20:47,237 INFO] Epoch id: 2, Training steps: 3000, Avg loss: 0.000
[2026-07-03 22:20:50,781 INFO] Epoch id: 2, Training steps: 3100, Avg loss: 0.000
[2026-07-03 22:20:55,467 INFO] Epoch id: 2, Training steps: 3200, Avg loss: 0.000
[2026-07-03 22:20:59,015 INFO] Epoch id: 2, Training steps: 3300, Avg loss: 0.000
[2026-07-03 22:21:04,197 INFO] Epoch id: 2, Training steps: 3400, Avg loss: 0.000
[2026-07-03 22:21:08,428 INFO] Epoch id: 2, Training steps: 3500, Avg loss: 0.000
[2026-07-03 22:21:11,949 INFO] Epoch id: 2, Training steps: 3600, Avg loss: 0.000
[2026-07-03 22:21:15,473 INFO] Epoch id: 2, Training steps: 3700, Avg loss: 0.000
[2026-07-03 22:21:18,996 INFO] Epoch id: 2, Training steps: 3800, Avg loss: 0.000
[2026-07-03 22:21:23,232 INFO] Epoch id: 2, Training steps: 3900, Avg loss: 0.000
[2026-07-03 22:21:28,253 INFO] Epoch id: 2, Training steps: 4000, Avg loss: 0.000
[2026-07-03 22:21:34,269 INFO] Epoch id: 2, Training steps: 4100, Avg loss: 0.000
[2026-07-03 22:21:39,377 INFO] Epoch id: 2, Training steps: 4200, Avg loss: 0.000
[2026-07-03 22:21:45,146 INFO] Epoch id: 2, Training steps: 4300, Avg loss: 0.000
[2026-07-03 22:21:48,679 INFO] Epoch id: 2, Training steps: 4400, Avg loss: 0.000
[2026-07-03 22:21:52,986 INFO] Epoch id: 2, Training steps: 4500, Avg loss: 0.000
[2026-07-03 22:21:59,656 INFO] Epoch id: 2, Training steps: 4600, Avg loss: 0.000
[2026-07-03 22:22:04,645 INFO] Epoch id: 2, Training steps: 4700, Avg loss: 0.000
[2026-07-03 22:22:09,606 INFO] Epoch id: 2, Training steps: 4800, Avg loss: 0.000
[2026-07-03 22:22:15,222 INFO] Epoch id: 2, Training steps: 4900, Avg loss: 0.000
[2026-07-03 22:22:18,703 INFO] Epoch id: 2, Training steps: 5000, Avg loss: 0.000
[2026-07-03 22:22:25,848 INFO] Acc. (Correct/Total): 1.0000 (10000/10000) 
 50%|█████     | 2/4 [07:12<07:14, 217.45s/it][2026-07-03 22:22:25,854 INFO] 4
[2026-07-03 22:22:29,288 INFO] Epoch id: 3, Training steps: 100, Avg loss: 0.000
[2026-07-03 22:22:34,536 INFO] Epoch id: 3, Training steps: 200, Avg loss: 0.000
[2026-07-03 22:22:37,839 INFO] Epoch id: 3, Training steps: 300, Avg loss: 0.000
